nct,author,year,pubmed_id,overall_follow_up,rx_follow_up,control_follow_up
NCT01704287,Ribas A et al,2015,26115796,10,,
NCT01704287,Ribas A et al (1),2015,26115796,10,,
NCT02362594,Eggermont AMM et al,2018,29658430,15.1,14.7,15.4
NCT01721772,Robert C et al,2015,25399552,16.7,,
NCT02908672,Gutzmer R et al,2020,32534646,18.9,,
NCT01721746,Larkin J et al,2018,28671856,24,,
NCT01704287,Hamid O et al,2017,28961465,28,,
NCT01704287,Hamid O et al (1),2017,28961465,28,,
NCT02523313,Zimmer L et al (1),2020,32416781,28.4,,
NCT02523313,Zimmer L et al,2020,32416781,28.4,,
NCT02130466,Ferrucci PF et al,2020,33361337,36.6,,
NCT02362594,Eggermont AMM et al,2020,32946353,36.6,36.6,36.5
NCT01721772,Ascierto PA et al,2019,30422243,38.4,,
NCT00636168,Eggermont AMM et al,2016,27717298,5.3,5.3,5.4
NCT01274338,Tarhini AA et al,2020,31880964,57.4,,
NCT01274338,Tarhini AA et al (1),2020,31880964,57.4,,
NCT01721746,Weber JS et al,2015,25795410,6,,
NCT02130466,Ascierto PA et al,2019,31171878,9.6,,
NCT00636168,Eggermont AMM et al,2015,25840693,,26.1,17.1
NCT00094653,Hodi FS et al,2010,20525992,,27.8,17.2
NCT00094653,Hodi FS et al (1),2010,20525992,,21,17.2
NCT00257205,Ribas A et al,2013,23295794,,,
NCT00094653,McDermott D et al,2013,23942774,,24,24
NCT00094653,McDermott D et al (1),2013,23942774,,24,24
NCT01721772,Robert C et al,2020,32997575,,32,10.9
NCT00324155,Robert C et al,2011,21639810,,,
