nct,author,year,pubmed_id,class_of_ici,priamry_multiple_composite_or_co_primary_endpoints
NCT02256436,Bellmunt J et al,2017,28212060,PD1,Multiple
NCT02256436,Fradet Y et al,2019,31050707,PD1,Multiple
NCT02267343,Kang YK et al,2017,28993052,PD1,
NCT02370498,Shitara K et al,2018,29880231,PD1,Multiple
NCT02252042,Cohen EEW et al,2018,30509740,PD1,
NCT02105636,Ferris RL et al,2016,27718784,PD1,
NCT02105636,Ferris RL et al,2018,29884413,PD1,
NCT01668784,Motzer RJ et al,2015,26406148,PD1,
NCT02231749,Motzer RJ et al,2018,29562145,"PD1, CTLA-4",Co-primary
NCT02231749,Motzer RJ et al,2019,31427204,"PD1, CTLA-4",Co-primary
NCT02853331,Rini BI et al,2019,30779529,PD1,Multiple
NCT02420821,Rini BI et al,2019,31079938,PD-L1,Co-primary
NCT01673867,Borghaei  H et al,2015,26412456,PD1,
NCT01642004,Brahmer J et al,2015,26028407,PD1,
NCT01905657,Herbst RS et al,2016,26712084,PD1,Multiple
NCT01905657,Herbst RS et al (1),2016,26712084,PD1,Multiple
NCT02041533,Carbone DP et al,2017,28636851,PD1,
NCT02125461,Antonia SJ et al,2017,28885881,PD-L1,Co-primary
NCT02125461,Antonia SJ et al,2018,30280658,PD-L1,Co-primary
NCT02039674,Langer JC et al,2016,27745820,PD1,
NCT02039674,Borghaei  H et al,2018,30138764,PD1,
NCT02578680,Gandhi L et al,2018,29658856,PD1,Multiple
NCT02775435,Paz-Ares L et al,2018,30280635,PD1,Multiple
NCT02579863,Usmani SZ et al,2019,31327689,PD1,
NCT02477826,Hellmann MD et al,2018,29658845,"PD1, CTLA-4",Co-primary
NCT02477826,Hellmann MD et al (1),2018,29658845,PD1,Co-primary
NCT02477826,Hellmann MD et al,2019,31562796,"PD1, CTLA-4",
NCT02477826,Hellmann MD et al (1),2019,31562796,PD1,
NCT02477826,Hellmann MD et al (2),2019,31562796,PD1,
NCT02220894,Mok TSK et al,2019,30955977,PD1,
NCT02142738,Reck M et al,2019,30620668,PD1,
NCT02367781,West H et al,2019,31122901,PD-L1,Co-primary
NCT02613507,Wu YL et al,2019,30659987,PD1,
NCT02494583,Shitara K et al,2020,32880601,PD1,Multiple
NCT02362594,Eggermont AMM et al,2018,29658430,PD1,
NCT01704287,Ribas A et al,2015,26115796,PD1,Co-primary
NCT01704287,Ribas A et al (1),2015,26115796,PD1,Co-primary
NCT01704287,Hamid O et al,2017,28961465,PD1,Co-primary
NCT01704287,Hamid O et al (1),2017,28961465,PD1,Co-primary
NCT01721746,Weber JS et al,2015,25795410,PD1,Co-primary
NCT01721746,Larkin J et al,2018,28671856,PD1,Co-primary
NCT02130466,Ascierto PA et al,2019,31171878,PD1,
NCT01721772,Robert C et al,2015,25399552,PD1,
NCT01721772,Ascierto PA et al,2019,30422243,PD1,
NCT02576977,Mateos MV et al,2019,31327687,PD1,Multiple
NCT02267343,Chen LT et al,2019,31863227,PD1,
NCT02702401,Finn RS et al,2019,31790344,PD1,Multiple
NCT02569242,Kato K et al,2019,31582355,PD1,
NCT01042379,Nanda R et al,2019,32053137,PD1,
NCT02425891,Schmid P et al,2019,31786121,PD-L1,Co-primary
NCT02358031,Burtness B et al,2019,31679945,PD1,Multiple
NCT02358031,Burtness B et al (1),2019,31679945,PD1,Multiple
